Produto;Preco Venda;Venda Qtd;Cidade;Latitude;Longitude;;
Café Solúvel;8,52;24;São Paulo;-23,55052;-46,63331;;
Energético;8,08;25;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;7,1;27;São Paulo;-23,55052;-46,63331;;
Iogurte;6,72;28;São Paulo;-23,55052;-46,63331;;
Manteiga;6,34;28;São Paulo;-23,55052;-46,63331;;
Cereal;4,7;32;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;3,02;35;São Paulo;-23,55052;-46,63331;;
Iogurte;2,42;36;São Paulo;-23,55052;-46,63331;;
Cup Noodles;7,14;27;São Paulo;-23,55052;-46,63331;;
Bala;6,49;28;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;6;29;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;8,22;25;São Paulo;-23,55052;-46,63331;;
Café Solúvel;9,5;22;São Paulo;-23,55052;-46,63331;;
Energético;3,04;35;São Paulo;-23,55052;-46,63331;;
Biscoito;6,62;28;São Paulo;-23,55052;-46,63331;;
Suco;8,21;25;São Paulo;-23,55052;-46,63331;;
Cup Noodles;8,91;23;São Paulo;-23,55052;-46,63331;;
Presunto;6,58;28;São Paulo;-23,55052;-46,63331;;
Sorvete;8,52;24;São Paulo;-23,55052;-46,63331;;
Manteiga;4,96;31;São Paulo;-23,55052;-46,63331;;
Queijo Processado;8;25;São Paulo;-23,55052;-46,63331;;
Energético;7,53;26;São Paulo;-23,55052;-46,63331;;
Chiclete;9,98;21;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;9,75;22;São Paulo;-23,55052;-46,63331;;
Bala;4,74;32;São Paulo;-23,55052;-46,63331;;
Batata Chips;3,71;34;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;38;Araraquara;-21,78528;-48,17806;;
Chiclete;4,37;32;São Paulo;-23,55052;-46,63331;;
Chiclete;2,33;36;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;8,51;24;São Paulo;-23,55052;-46,63331;;
Iogurte;7,77;26;São Paulo;-23,55052;-46,63331;;
Batata Chips;2,07;37;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;5,89;29;São Paulo;-23,55052;-46,63331;;
Chocolate;6,68;28;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;8,08;25;São Paulo;-23,55052;-46,63331;;
Chocolate;5,58;30;São Paulo;-23,55052;-46,63331;;
Amendoim;5,44;30;São Paulo;-23,55052;-46,63331;;
Chocolate;6,59;28;São Paulo;-23,55052;-46,63331;;
Manteiga;5,8;29;São Paulo;-23,55052;-46,63331;;
Cup Noodles;2,79;35;São Paulo;-23,55052;-46,63331;;
Queijo Processado;6,9;27;São Paulo;-23,55052;-46,63331;;
Bala;3,7;34;São Paulo;-23,55052;-46,63331;;
Queijo Processado;10,63;20;São Paulo;-23,55052;-46,63331;;
Cereal;7,19;27;São Paulo;-23,55052;-46,63331;;
Presunto;8,47;24;São Paulo;-23,55052;-46,63331;;
Suco;4,41;32;São Paulo;-23,55052;-46,63331;;
Bala;7,27;27;São Paulo;-23,55052;-46,63331;;
Biscoito;7,73;26;São Paulo;-23,55052;-46,63331;;
Iogurte;6,15;29;São Paulo;-23,55052;-46,63331;;
Chiclete;6,86;27;São Paulo;-23,55052;-46,63331;;
Energético;2,87;35;São Paulo;-23,55052;-46,63331;;
Café Solúvel;4,7;32;São Paulo;-23,55052;-46,63331;;
Refrigerante;5,3;30;São Paulo;-23,55052;-46,63331;;
Suco;10,07;21;São Paulo;-23,55052;-46,63331;;
Chiclete;9,17;23;São Paulo;-23,55052;-46,63331;;
Suco;8,14;25;São Paulo;-23,55052;-46,63331;;
Bala;5,57;30;São Paulo;-23,55052;-46,63331;;
Refrigerante;6,58;28;São Paulo;-23,55052;-46,63331;;
Sorvete;3,24;35;São Paulo;-23,55052;-46,63331;;
Batata Chips;4,87;31;São Paulo;-23,55052;-46,63331;;
Manteiga;6,73;28;São Paulo;-23,55052;-46,63331;;
Café Solúvel;6,46;28;São Paulo;-23,55052;-46,63331;;
Iogurte;3,02;35;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;4,44;32;São Paulo;-23,55052;-46,63331;;
Café Solúvel;2,49;36;São Paulo;-23,55052;-46,63331;;
Biscoito;4,26;33;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;38;Jundiaí;-23,18548;-46,89784;;
Água Mineral;1;38;Campinas;-22,90994;-47,06263;;
Bala;5,78;29;São Paulo;-23,55052;-46,63331;;
Biscoito;10,78;19;São Paulo;-23,55052;-46,63331;;
Batata Chips;5,76;30;São Paulo;-23,55052;-46,63331;;
Iogurte;5,27;31;São Paulo;-23,55052;-46,63331;;
Amendoim;4,76;32;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,51;28;São Paulo;-23,55052;-46,63331;;
Biscoito;4,13;33;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;38;Campinas;-22,90994;-47,06263;;
Bala;8,19;25;São Paulo;-23,55052;-46,63331;;
Cup Noodles;5,61;30;São Paulo;-23,55052;-46,63331;;
Chiclete;8,09;25;São Paulo;-23,55052;-46,63331;;
Pão de Forma;2,99;35;São Paulo;-23,55052;-46,63331;;
Queijo Processado;4,32;32;São Paulo;-23,55052;-46,63331;;
Cereal;2,71;36;São Paulo;-23,55052;-46,63331;;
Cup Noodles;4,18;33;São Paulo;-23,55052;-46,63331;;
Energético;5,2;31;São Paulo;-23,55052;-46,63331;;
Energético;7,76;26;São Paulo;-23,55052;-46,63331;;
Suco;5,86;29;São Paulo;-23,55052;-46,63331;;
Cup Noodles;1,82;37;São Paulo;-23,55052;-46,63331;;
Chocolate;6,73;28;São Paulo;-23,55052;-46,63331;;
Refrigerante;6,72;28;São Paulo;-23,55052;-46,63331;;
Suco;5,26;31;São Paulo;-23,55052;-46,63331;;
Biscoito;3,85;33;São Paulo;-23,55052;-46,63331;;
Queijo Processado;7,32;26;São Paulo;-23,55052;-46,63331;;
Pão de Forma;4,37;32;São Paulo;-23,55052;-46,63331;;
Energético;8,24;25;São Paulo;-23,55052;-46,63331;;
Pão de Forma;9,2;23;São Paulo;-23,55052;-46,63331;;
Iogurte;3,06;35;São Paulo;-23,55052;-46,63331;;
Iogurte;4,63;32;São Paulo;-23,55052;-46,63331;;
Cup Noodles;2,25;37;São Paulo;-23,55052;-46,63331;;
Biscoito;5,75;30;São Paulo;-23,55052;-46,63331;;
Chocolate;7,57;26;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;38;São Paulo;-23,55052;-46,63331;;
Refrigerante;7,73;26;São Paulo;-23,55052;-46,63331;;
Refrigerante;7,71;26;São Paulo;-23,55052;-46,63331;;
Chiclete;4,21;33;São Paulo;-23,55052;-46,63331;;
Chiclete;4,66;32;São Paulo;-23,55052;-46,63331;;
Pão de Forma;5,01;31;São Paulo;-23,55052;-46,63331;;
Pão de Forma;6,31;28;São Paulo;-23,55052;-46,63331;;
Cup Noodles;4,75;32;São Paulo;-23,55052;-46,63331;;
Bala;2,69;36;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;38;Jundiaí;-23,18548;-46,89784;;
Chocolate;3,85;33;São Paulo;-23,55052;-46,63331;;
Pão de Forma;8,89;23;São Paulo;-23,55052;-46,63331;;
Chocolate;4,51;32;São Paulo;-23,55052;-46,63331;;
Sorvete;3,59;34;São Paulo;-23,55052;-46,63331;;
Queijo Processado;3,66;34;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;3,02;35;São Paulo;-23,55052;-46,63331;;
Energético;6,35;28;São Paulo;-23,55052;-46,63331;;
Amendoim;6,57;28;São Paulo;-23,55052;-46,63331;;
Chiclete;7,1;27;São Paulo;-23,55052;-46,63331;;
Bala;6,41;28;São Paulo;-23,55052;-46,63331;;
Cereal;2,12;37;São Paulo;-23,55052;-46,63331;;
Chiclete;2,35;36;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;2,47;36;São Paulo;-23,55052;-46,63331;;
Suco;7,67;26;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,02;29;São Paulo;-23,55052;-46,63331;;
Bala;3,61;34;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;3,15;35;São Paulo;-23,55052;-46,63331;;
Manteiga;4,87;31;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;38;Jundiaí;-23,18548;-46,89784;;
Iogurte;2,04;37;São Paulo;-23,55052;-46,63331;;
Biscoito;3,38;34;São Paulo;-23,55052;-46,63331;;
Queijo Processado;8,31;24;São Paulo;-23,55052;-46,63331;;
Cereal;2,98;35;São Paulo;-23,55052;-46,63331;;
Café Solúvel;8,71;24;São Paulo;-23,55052;-46,63331;;
Cereal;4,63;32;São Paulo;-23,55052;-46,63331;;
Café Solúvel;5,25;31;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;8,02;25;São Paulo;-23,55052;-46,63331;;
Chiclete;2,63;36;São Paulo;-23,55052;-46,63331;;
Chiclete;5,73;30;São Paulo;-23,55052;-46,63331;;
Energético;2,6;36;São Paulo;-23,55052;-46,63331;;
Iogurte;3,66;34;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,55;28;São Paulo;-23,55052;-46,63331;;
Iogurte;6,96;27;São Paulo;-23,55052;-46,63331;;
Suco;5,96;29;São Paulo;-23,55052;-46,63331;;
Suco;2,08;37;São Paulo;-23,55052;-46,63331;;
Suco;8,92;23;São Paulo;-23,55052;-46,63331;;
Pão de Forma;6,82;27;São Paulo;-23,55052;-46,63331;;
Chocolate;5,3;30;São Paulo;-23,55052;-46,63331;;
Biscoito;8,54;24;São Paulo;-23,55052;-46,63331;;
Refrigerante;3,6;34;São Paulo;-23,55052;-46,63331;;
Manteiga;5,21;31;São Paulo;-23,55052;-46,63331;;
Café Solúvel;8,58;24;São Paulo;-23,55052;-46,63331;;
Café Solúvel;5,68;30;São Paulo;-23,55052;-46,63331;;
Bala;6,93;27;São Paulo;-23,55052;-46,63331;;
Chocolate;6,78;27;São Paulo;-23,55052;-46,63331;;
Batata Chips;8,22;25;São Paulo;-23,55052;-46,63331;;
Batata Chips;2,01;37;São Paulo;-23,55052;-46,63331;;
Pão de Forma;4,59;32;São Paulo;-23,55052;-46,63331;;
Chocolate;2,71;36;São Paulo;-23,55052;-46,63331;;
Batata Chips;6,51;28;São Paulo;-23,55052;-46,63331;;
Iogurte;7,44;26;São Paulo;-23,55052;-46,63331;;
Amendoim;3,61;34;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;5,39;30;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Jundiaí;-23,18548;-46,89784;;
Cereal;3,18;35;São Paulo;-23,55052;-46,63331;;
Suco;3,84;33;São Paulo;-23,55052;-46,63331;;
Amendoim;2,53;36;São Paulo;-23,55052;-46,63331;;
Energético;7,22;27;São Paulo;-23,55052;-46,63331;;
Amendoim;3,03;35;São Paulo;-23,55052;-46,63331;;
Pão de Forma;2,36;36;São Paulo;-23,55052;-46,63331;;
Café Solúvel;6,98;27;São Paulo;-23,55052;-46,63331;;
Iogurte;5,62;30;São Paulo;-23,55052;-46,63331;;
Chocolate;6,59;28;São Paulo;-23,55052;-46,63331;;
Sorvete;7,18;27;São Paulo;-23,55052;-46,63331;;
Sorvete;1,88;37;São Paulo;-23,55052;-46,63331;;
Presunto;8,05;25;São Paulo;-23,55052;-46,63331;;
Chiclete;3,76;34;São Paulo;-23,55052;-46,63331;;
Café Solúvel;6,35;28;São Paulo;-23,55052;-46,63331;;
Suco;9,14;23;São Paulo;-23,55052;-46,63331;;
Refrigerante;5,05;31;São Paulo;-23,55052;-46,63331;;
Cup Noodles;8,32;24;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,67;28;São Paulo;-23,55052;-46,63331;;
Amendoim;9,05;23;São Paulo;-23,55052;-46,63331;;
Queijo Processado;3,68;34;São Paulo;-23,55052;-46,63331;;
Chiclete;2,89;35;São Paulo;-23,55052;-46,63331;;
Sorvete;7,06;27;São Paulo;-23,55052;-46,63331;;
Refrigerante;6,48;28;São Paulo;-23,55052;-46,63331;;
Cereal;2,35;36;São Paulo;-23,55052;-46,63331;;
Iogurte;4,69;32;São Paulo;-23,55052;-46,63331;;
Sorvete;2,89;35;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;3,69;34;São Paulo;-23,55052;-46,63331;;
Café Solúvel;7,17;27;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;7,16;27;São Paulo;-23,55052;-46,63331;;
Presunto;5,74;30;São Paulo;-23,55052;-46,63331;;
Iogurte;2,98;35;São Paulo;-23,55052;-46,63331;;
Biscoito;3,04;35;São Paulo;-23,55052;-46,63331;;
Manteiga;3,25;35;São Paulo;-23,55052;-46,63331;;
